Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Growth rate 2022-2021 in %,Growth rate 2022-2012 in %,Share 2022 in %
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.05,0.06,0.06,0.07,0.1,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.13,0.12,0.11,0.11,0.12,0.13,0.17,0.17,0.18,0.18,0.17,0.18,0.18,0.15,0.16,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.7,-0.2,0.6
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,-2.1,-0.4,0.2
Spain,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.05,0.07,0.07,0.08,0.08,0.07,0.08,0.07,0.05,0.1,0.09,0.11,0.24,0.29,0.38,0.42,0.52,0.57,0.55,0.57,0.57,0.57,0.57,0.57,0.58,0.56,0.6,0.6,0.64,0.65,0.64,0.62,0.63,0.57,0.59,0.54,0.57,0.51,0.59,0.55,0.58,0.53,0.54,0.53,0.54,0.53,0.51,0.53,0.53,0.51,0.53,3.2,-1.0,2.2
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.12,0.16,0.2,0.24,0.21,0.27,0.38,0.4,0.42,0.52,0.6,0.71,0.69,0.71,0.67,0.7,0.78,0.65,0.63,0.75,0.71,0.76,0.71,0.75,0.75,0.59,0.73,0.69,0.68,0.77,0.72,0.66,0.65,0.62,0.5,0.55,0.58,0.61,0.63,0.61,0.52,0.58,0.6,0.63,0.6,0.45,0.48,0.46,-3.0,-2.6,1.9
Switzerland,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.04,0.06,0.07,0.08,0.08,0.08,0.09,0.12,0.15,0.16,0.15,0.16,0.19,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.26,0.25,0.27,0.27,0.27,0.27,0.27,0.23,0.27,0.27,0.27,0.27,0.25,0.26,0.24,0.25,0.26,0.22,0.2,0.19,0.22,0.23,0.21,0.17,0.21,24.3,-1.5,0.9
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.44,0.52,0.74,0.68,0.78,0.77,0.75,0.77,0.7,0.72,0.81,0.81,0.77,0.74,0.79,0.77,0.79,0.82,0.87,0.88,0.89,0.9,0.87,0.8,0.85,0.86,0.85,0.78,0.83,0.82,0.75,0.79,0.77,0.76,0.69,0.78,0.56,-28.3,-4.1,2.3
United Kingdom,0.15,0.21,0.24,0.27,0.3,0.27,0.28,0.3,0.29,0.34,0.31,0.37,0.41,0.38,0.39,0.38,0.39,0.45,0.51,0.55,0.62,0.6,0.56,0.65,0.73,0.67,0.72,0.78,0.91,0.9,0.91,0.97,1.0,1.02,0.97,0.87,0.91,0.89,0.89,0.8,0.81,0.74,0.62,0.51,0.67,0.6,0.66,0.67,0.66,0.6,0.65,0.66,0.65,0.59,0.51,0.46,0.41,0.43,3.6,-4.3,1.8
Other Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Europe,0.2,0.26,0.31,0.35,0.42,0.46,0.52,0.69,0.76,0.89,1.19,1.39,1.65,1.85,2.07,2.42,3.27,3.6,4.25,5.4,7.1,7.55,7.85,8.64,9.06,9.14,9.38,9.44,9.81,9.73,9.98,10.54,10.65,10.56,10.63,10.71,10.98,11.04,11.07,11.17,10.98,10.89,10.31,10.24,9.69,9.89,9.76,9.45,9.29,9.29,9.01,8.71,8.6,8.55,8.47,7.56,7.98,6.68,-16.3,-3.4,27.7
